date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
09/25/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"PennyMac Loan Services, LLC",NC,28515,,,Fax,09/26/2013,Closed with explanation,Yes,Yes,541338
09/18/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,MI,48382,,,Fax,09/19/2013,Closed with explanation,Yes,No,531777
09/25/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,"American Internet Mortgage, Inc",CA,95678,,,Fax,11/06/2013,Closed,Yes,No,542083
09/23/2013,Credit card,,Billing disputes,,,,Capital One,MD,20904,,,Fax,09/30/2013,Closed with non-monetary relief,Yes,No,538413
09/23/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,Encore Capital Group,FL,34491,,,Fax,11/03/2013,Closed with explanation,Yes,No,537794
09/25/2013,Credit card,,Billing disputes,,,,JPMorgan Chase & Co.,CA,93011,,,Fax,10/16/2013,Closed with explanation,Yes,Yes,543064
09/25/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,M&T Bank Corporation,IN,46229,Servicemember,,Fax,09/26/2013,Closed with explanation,Yes,No,543102
09/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,MI,48382,Servicemember,,Fax,09/24/2013,Closed with explanation,Yes,No,537767
10/11/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,BB&T Financial,NC,28269,,,Fax,10/15/2013,Closed with explanation,Yes,Yes,558778
09/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"PayPal Holdings, Inc.",NY,11767,,,Fax,10/01/2013,Closed with explanation,No,No,548018
09/03/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,RI,2920,,,Fax,09/09/2013,Closed with explanation,Yes,No,512690
10/23/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,CA,92563,Older American,,Fax,10/24/2013,Closed with explanation,Yes,No,567724
11/06/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,PNC Bank N.A.,NJ,8021,,,Fax,11/07/2013,Closed with monetary relief,Yes,Yes,588382
09/25/2013,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,Encore Capital Group,MS,39208,,,Fax,09/26/2013,Closed with explanation,Yes,No,542659
